"","Name","Team","Age","Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","PlayerId","Team","Age","Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","PlayerId"
"12","Trent Giambrone","Cubs (AA)",24,2018,116,398,456,100,61,20,2,17,56,49,46,2,89,4,3,5,14,26,9,0.251256281,0.332594235,0.439698492,0.772292727,0.347775880770057,0.100877192,0.195175438,"sa658813","Cubs (AAA)",25,2019,126,431,478,104,54,27,0,23,66,66,42,2,131,4,0,1,10,17,4,0.241299303,0.314465408,0.464037122,0.77850253,0.325872511612742,0.087866108,0.274058577,"sa658813"
"13","Elier Hernandez","Royals (AA)",23,2018,91,355,381,102,76,22,1,3,45,50,14,0,71,6,4,2,9,10,8,0.287323943,0.321899736,0.38028169,0.702181426,0.316486667831844,0.036745406,0.186351706,"sa659238","Royals (AAA)",24,2019,112,396,428,97,72,13,2,10,50,36,25,0,116,4,1,2,15,8,5,0.244949494,0.295774647,0.363636363,0.65941101,0.287376072625039,0.058411214,0.271028037,"sa659238"
"14","Eli White","Athletics (AA)",24,2018,130,504,578,154,107,30,8,9,81,55,62,1,116,8,4,0,3,18,9,0.305555555,0.387543252,0.450396825,0.837940077,0.37701909349944,0.107266435,0.200692041,"sa738478","Rangers (AAA)",25,2019,116,438,499,111,72,20,5,14,63,43,43,0,138,14,3,1,9,14,5,0.253424657,0.337349397,0.417808219,0.755157616,0.327964072605692,0.086172344,0.276553106,"sa738478"
"15","Will Craig","Pirates (AA)",23,2018,132,480,549,119,66,30,3,20,73,102,42,1,128,15,12,0,8,6,3,0.247916666,0.320582877,0.447916666,0.768499543,0.34076896973335,0.076502732,0.233151183,"sa738696","Pirates (AAA)",24,2019,131,494,556,123,77,23,0,23,69,78,44,1,146,14,4,0,15,2,3,0.248987854,0.325539568,0.435222672,0.76076224,0.329229768439456,0.07913669,0.262589928,"sa738696"
"16","Michael Gettys","Padres (AA)",22,2018,125,431,473,99,59,22,3,15,51,53,31,1,160,6,1,4,13,17,6,0.229698375,0.289978678,0.399071925,0.689050603,0.307648396517476,0.065539112,0.338266384,"sa828692","Padres (AAA)",23,2019,128,507,551,130,65,29,5,31,97,91,33,1,168,5,6,0,4,14,6,0.256410256,0.304900181,0.516765285,0.821665466,0.334309592572126,0.059891107,0.304900181,"sa828692"
"17","Troy Stokes Jr.","Brewers (AA)",22,2018,129,467,551,109,61,23,6,19,74,58,65,1,147,15,4,0,7,19,2,0.23340471,0.343012704,0.430406852,0.773419556,0.351842792684382,0.117967332,0.266787658,"sa828871","Brewers (AAA)",23,2019,95,322,381,75,44,22,0,9,50,40,47,0,87,8,4,0,4,14,3,0.232919254,0.341207349,0.385093167,0.726300516,0.321797842585196,0.12335958,0.228346456,"sa828871"
"18","Josh Ockimey","Red Sox (AA)",22,2018,90,311,376,79,43,19,2,15,43,56,59,1,112,1,5,0,3,0,1,0.254019292,0.369680851,0.47266881,0.842349661,0.376152196407318,0.156914893,0.29787234,"sa829375","Red Sox (AAA)",23,2019,122,377,468,77,33,17,2,25,64,57,82,1,139,6,3,0,5,0,2,0.204244031,0.352564102,0.458885941,0.811450043,0.351714298480073,0.175213675,0.297008547,"sa829375"
"19","Zander Wiel","Twins (AA)",25,2018,101,386,435,120,84,27,2,7,53,58,40,4,82,6,3,0,7,8,4,0.310880829,0.381609195,0.445595854,0.827205049,0.373076943676322,0.091954022,0.188505747,"sa857249","Twins (AAA)",26,2019,126,469,522,119,50,40,5,24,86,78,40,2,158,8,5,0,5,2,1,0.253731343,0.319923371,0.513859275,0.833782646,0.348021861681571,0.076628352,0.302681992,"sa857249"
"20","Jake Cronenworth","Rays (AA)",24,2018,108,418,470,106,80,18,4,4,75,50,43,0,69,3,6,0,9,21,3,0.253588516,0.323404255,0.344497607,0.667901862,0.308615828321335,0.091489361,0.14680851,"sa857694","Rays (AAA)",25,2019,88,344,406,115,75,26,4,10,75,45,49,0,62,10,3,0,4,12,5,0.334302325,0.428571428,0.520348837,0.948920265,0.411953100870396,0.120689655,0.152709359,"sa857694"
"21","Brennon Lund","Angels (AA)",23,2018,100,401,453,106,72,20,6,8,63,59,43,0,102,6,2,1,6,21,5,0.264339152,0.342920353,0.403990024,0.746910377,0.341644580780932,0.094922737,0.225165562,"sa857730","Angels (AAA)",24,2019,96,352,397,100,61,26,5,8,62,51,36,1,91,3,6,0,3,6,3,0.284090909,0.350125944,0.454545454,0.804671398,0.34260976344648,0.0906801,0.229219143,"sa857730"
