Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Danny Mendick","White Sox (AAA)",25,2019,133,477,558,133,89,26,1,17,75,64,66,0,96,5,7,3,20,19,8,0.278825995,0.367567567,0.444444444,0.812012011,0.35509050418664745,0.118279569,0.17204301,"18889"
"Andres Blanco","Braves (AAA)",35,2019,118,454,530,119,76,23,1,19,78,61,57,0,109,17,2,0,13,2,4,0.262114537,0.364150943,0.442731277,0.80688222,0.3548396092540813,0.107547169,0.205660377,"1907"
"Adolis Garcia","Cardinals (AAA)",26,2019,132,491,529,124,64,22,6,32,96,96,22,0,159,13,2,1,5,14,10,0.252545824,0.301136363,0.517311608,0.818447971,0.33442997763102705,0.041587901,0.300567107,"19287"
"Nick Solak","- - -",24,2019,115,419,477,121,74,19,1,27,79,74,45,0,105,6,5,1,8,5,2,0.288782816,0.362105263,0.53221957,0.894324833,0.37606010248786526,0.094339622,0.220125786,"19294"
"Nate Lowe","Rays (AAA)",23,2019,93,329,406,95,55,24,0,16,63,63,72,1,82,4,1,0,11,1,0,0.288753799,0.421182266,0.507598784,0.92878105,0.4039176521477876,0.177339901,0.201970443,"19566"
"Sheldon Neuse","Athletics (AAA)",24,2019,126,498,560,158,98,31,2,27,99,102,56,1,132,4,2,0,9,3,3,0.317269076,0.389285714,0.550200803,0.939486517,0.39377601596665085,0.1,0.235714285,"19635"
"Jake Noll","Nationals (AAA)",25,2019,118,456,489,130,95,24,0,11,69,54,26,0,89,4,3,0,12,5,2,0.285087719,0.327198364,0.410087719,0.737286083,0.31862006987043195,0.053169734,0.182004089,"19703"
"Carter Kieboom","Nationals (AAA)",21,2019,109,412,494,125,82,24,3,16,79,79,68,1,100,9,5,0,11,5,2,0.303398058,0.408906882,0.492718446,0.901625328,0.3884484264961846,0.137651821,0.202429149,"19958"
"Gregor Blanco","Mets (AAA)",35,2019,118,362,426,89,60,13,3,13,59,43,52,1,94,2,6,4,4,11,8,0.245856353,0.338862559,0.406077348,0.744939907,0.3265054577036878,0.122065727,0.220657276,"3123"
"Rene Rivera","Mets (AAA)",35,2019,97,355,396,90,52,13,0,25,53,73,31,0,103,5,4,1,16,0,0,0.253521126,0.318987341,0.50140845,0.820395791,0.3454344257523742,0.078282828,0.26010101,"3648"
"Gorkys Hernandez","Red Sox (AAA)",31,2019,123,430,504,94,61,14,3,16,75,53,62,0,146,4,6,2,8,20,6,0.218604651,0.318725099,0.376744186,0.695469285,0.3082716264335283,0.123015873,0.289682539,"4146"
"Abraham Almonte","Diamondbacks (AAA)",30,2019,91,319,382,86,32,33,4,17,78,59,60,1,70,0,3,0,4,12,3,0.269592476,0.382198952,0.55799373,0.940192682,0.3892941463963566,0.157068062,0.183246073,"5486"
"Corban Joseph","Athletics (AAA)",30,2019,97,383,425,142,90,35,4,13,63,73,33,1,46,4,5,0,7,0,0,0.37075718,0.42117647,0.584856396,1.006032866,0.4211611056102897,0.077647058,0.108235294,"5503"
"Brandon Barnes","- - -",33,2019,120,478,532,121,61,30,0,30,77,95,42,1,150,7,5,0,11,11,1,0.253138075,0.319548872,0.5041841,0.823732972,0.34596912661065715,0.078947368,0.281954887,"629"
"Alcides Escobar","White Sox (AAA)",32,2019,96,367,405,105,67,28,0,10,52,70,32,1,64,2,4,0,8,6,2,0.286103542,0.343209876,0.444141689,0.787351565,0.34019070317839634,0.079012345,0.158024691,"6310"
"Jim Adduci","Cubs (AAA)",34,2019,105,359,386,108,73,23,0,12,59,58,21,1,89,1,4,1,7,9,4,0.300835654,0.337662337,0.465181058,0.802843395,0.33878858340904117,0.054404145,0.230569948,"6448"
"Eric Campbell","Athletics (AAA)",32,2019,94,333,394,92,52,24,0,16,64,65,54,0,68,4,2,1,12,6,3,0.276276276,0.381679389,0.492492492,0.874171881,0.37389648324660674,0.137055837,0.172588832,"6938"
"Matt Davidson","Rangers (AAA)",28,2019,124,469,528,124,67,24,0,33,74,101,42,2,151,13,4,0,5,1,0,0.264392324,0.339015151,0.526652452,0.865667603,0.35689679037482114,0.079545454,0.285984848,"7226"
"Jake Elmore","Pirates (AAA)",32,2019,109,367,414,118,81,31,0,6,56,35,37,5,55,5,4,1,11,3,8,0.321525885,0.3874092,0.455040871,0.842450071,0.36517298908210266,0.08937198,0.132850241,"7290"
"Sean Kazmar Jr.","Braves (AAA)",34,2019,108,381,424,103,68,21,2,12,55,61,32,0,56,6,5,0,16,1,1,0.270341207,0.332547169,0.430446194,0.762993363,0.3309442589305482,0.075471698,0.132075471,"7349"
"Ryan Flaherty","Indians (AAA)",32,2019,113,414,486,109,65,23,2,19,66,73,65,6,121,3,3,1,8,2,2,0.263285024,0.364948453,0.466183574,0.831132027,0.3563746439141371,0.133744855,0.248971193,"7888"
"Wilin Rosario","Twins (AAA)",30,2019,105,413,447,124,80,24,0,20,71,91,23,0,77,4,5,0,14,2,1,0.30024213,0.339325842,0.503631961,0.842957803,0.3572715925366691,0.051454138,0.172259507,"8002"
