Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Taylor Davis","- - -","—",2018,168,560,650,146,115,22,0,9,59,64,71,2,95,2,4,12,26,0,2,0.260714285,0.343799058,0.348214285,0.692013343,0.3151985264199925,0.109230769,0.146153846,"12782"
"Jose Osuna","- - -","—",2018,101,373,425,116,71,33,1,11,58,72,40,0,73,3,8,1,12,7,3,0.310991957,0.375,0.493297587,0.868297587,0.3802873147827274,0.094117647,0.171764705,"12937"
"Socrates Brito","- - -","—",2018,211,822,906,247,140,62,12,33,151,136,73,1,201,3,7,1,7,26,11,0.300486618,0.356906077,0.525547445,0.882453522,0.3772343573185195,0.080573951,0.221854304,"12944"
"Phillip Evans","- - -","—",2018,192,685,784,188,115,38,4,31,113,100,78,0,116,14,7,0,31,5,7,0.274452554,0.357142857,0.477372262,0.834515119,0.35924289208285665,0.099489795,0.147959183,"12950"
"Michael Perez","- - -","—",2018,112,402,456,107,71,16,1,19,53,71,48,0,91,0,6,0,8,0,3,0.266169154,0.33991228,0.452736318,0.792648598,0.34464040385526523,0.105263157,0.199561403,"12977"
"Charles Tilson","- - -","—",2018,128,506,550,134,104,25,2,3,63,59,35,0,95,3,2,4,5,14,5,0.264822134,0.315018315,0.339920948,0.654939263,0.2949918425563491,0.063636363,0.172727272,"12983"
"Kelby Tomlinson","- - -","—",2018,147,516,573,136,116,18,2,0,60,26,45,2,123,2,3,7,19,11,7,0.263565891,0.323321554,0.30620155,0.629523104,0.28739387600134453,0.078534031,0.214659685,"13005"
"Mitch Walding","- - -","—",2018,209,670,822,161,97,31,3,30,116,109,135,2,281,11,6,0,5,4,1,0.240298507,0.373479318,0.429850746,0.803330064,0.3605535676566566,0.164233576,0.341849148,"13006"
"John Andreoli","- - -","—",2018,205,735,895,198,128,43,8,19,122,83,145,2,227,8,7,0,8,31,6,0.269387755,0.39217877,0.427210884,0.819389654,0.3654789104974283,0.162011173,0.253631284,"13012"
"Mikie Mahtook","- - -","—",2018,170,637,731,163,95,29,7,32,104,91,76,3,188,10,6,1,14,20,11,0.25588697,0.341563786,0.474097331,0.815661117,0.35306059255087674,0.103967168,0.257181942,"13130"
"Zach Vincej","- - -","—",2018,210,751,829,194,141,36,3,14,95,102,57,1,128,9,6,6,22,7,9,0.258322237,0.315917375,0.370173102,0.686090477,0.30553718864772733,0.068757539,0.154402895,"13269"
"Joey Rickard","- - -","—",2018,108,389,457,119,71,33,3,12,80,60,55,3,71,7,6,0,6,4,2,0.305912596,0.396061269,0.498714652,0.894775921,0.38463089513358567,0.120350109,0.15536105,"13277"
"Darnell Sweeney","- - -","—",2018,117,381,430,89,55,17,5,12,57,50,36,0,148,5,5,3,6,8,6,0.2335958,0.304449648,0.398950131,0.703399779,0.3127436977080495,0.08372093,0.344186046,"13284"
"Peter O'Brien","- - -","—",2018,111,367,426,87,46,14,0,27,63,78,56,3,147,1,2,0,4,1,1,0.23705722,0.338028169,0.495912806,0.833940975,0.3512706226772732,0.131455399,0.345070422,"13288"
"Ildemaro Vargas","- - -","—",2018,152,661,709,217,155,40,13,9,98,78,41,0,51,3,4,0,17,11,5,0.328290468,0.368124118,0.468986384,0.837110502,0.36671022274262144,0.057827926,0.071932299,"13324"
"Deven Marrero","- - -","—",2018,133,449,507,109,70,20,3,16,65,49,50,1,120,1,2,5,13,10,1,0.242761692,0.318725099,0.407572383,0.726297482,0.31397058744868356,0.098619329,0.23668639,"13325"
"Cameron Perkins","- - -","—",2018,178,656,723,176,106,48,3,19,98,83,49,1,117,13,4,1,20,15,5,0.268292682,0.329639889,0.4375,0.767139889,0.3333833583019643,0.067773167,0.161825726,"13444"
