Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Travis Demeritte","Braves (AA)","—",2018,128,428,494,95,51,22,5,17,69,63,57,1,140,4,4,1,3,6,2,0.221962616,0.31643002,0.41588785,0.73231787,0.33161138579612826,0.115384615,0.283400809,"15958"
"Travis Demeritte","Braves (AAA)","—",2019,96,339,399,97,47,28,2,20,68,73,51,0,106,6,2,1,5,4,3,0.286135693,0.386934673,0.557522123,0.944456796,0.39984064949816794,0.127819548,0.26566416,"15958"
"Ryder Jones","Giants (AAA)","—",2018,116,441,482,121,84,22,4,11,57,59,30,2,106,7,4,0,6,2,2,0.274376417,0.327800829,0.41723356,0.745034389,0.32864207910994686,0.062240663,0.219917012,"15982"
"Deivy Grullon","Phillies (AAA)","—",2019,108,407,457,115,70,24,0,21,55,77,45,0,133,2,3,0,5,1,0,0.282555282,0.354485776,0.496314496,0.850800272,0.3639294608155799,0.098468271,0.291028446,"15988"
"Kean Wong","Rays (AAA)","—",2018,116,451,502,127,92,23,3,9,65,50,40,3,112,5,3,3,8,7,3,0.281596452,0.344689378,0.405764966,0.750454344,0.3357724727642152,0.079681274,0.223107569,"15994"
"Kean Wong","Rays (AAA)","—",2019,113,453,506,139,94,29,6,10,71,63,42,1,112,8,1,2,6,6,3,0.306843267,0.375,0.463576158,0.838576158,0.36532096170762896,0.083003952,0.221343873,"15994"
"Mike Gerber","Giants (AAA)","—",2019,119,464,513,143,75,41,1,26,95,83,39,0,140,7,3,0,10,5,4,0.308189655,0.368421052,0.568965517,0.937386569,0.38772352350617945,0.076023391,0.272904483,"16115"
"Kevin Cron","Diamondbacks (AAA)","—",2018,104,392,438,121,70,28,1,22,57,97,36,0,100,4,6,0,6,1,0,0.308673469,0.367579908,0.553571428,0.921151336,0.39544769509197913,0.08219178,0.228310502,"16211"
"J.D. Davis","Astros (AAA)","—",2018,85,333,377,114,70,25,2,17,56,81,36,1,69,3,5,0,8,3,0,0.342342342,0.405835543,0.582582582,0.988418125,0.42449956545804407,0.095490716,0.183023872,"16219"
"AJ Reed","Astros (AAA)","—",2018,123,462,540,118,62,24,4,28,72,108,64,3,128,4,10,0,7,0,0,0.255411255,0.344444444,0.506493506,0.85093795,0.364392257935508,0.118518518,0.237037037,"16246"
"Sam Travis","Red Sox (AAA)","—",2018,97,361,398,93,72,13,0,8,35,43,29,0,89,4,4,0,5,1,2,0.257617728,0.316582914,0.360110803,0.676693717,0.30695576583919815,0.072864321,0.22361809,"16263"
"Pablo Reyes","Pirates (AAA)","—",2018,110,356,398,103,71,20,4,8,52,36,28,1,71,2,4,8,9,13,7,0.289325842,0.341025641,0.435393258,0.776418899,0.3443670600729307,0.070351758,0.178391959,"16357"
"Oscar Mercado","Cardinals (AAA)","—",2018,100,382,427,109,79,21,1,8,73,42,36,0,64,4,3,2,7,31,8,0.285340314,0.350588235,0.408376963,0.758965198,0.3407384124924155,0.084309133,0.149882903,"16375"
"Domingo Leyba","Diamondbacks (AAA)","—",2019,112,457,498,137,78,37,3,19,85,77,32,1,78,6,3,0,8,0,2,0.299781181,0.351405622,0.518599562,0.870005184,0.3630484051147937,0.064257028,0.156626506,"16404"
"Richard Urena","Blue Jays (AAA)","—",2019,98,369,403,101,73,18,4,6,43,52,23,1,85,1,5,4,11,3,2,0.273712737,0.314070351,0.392953929,0.70702428,0.3066597358706015,0.05707196,0.210918114,"16411"
"Jason Martin","Pirates (AAA)","—",2019,101,370,406,96,58,25,5,8,47,50,29,1,79,1,4,2,3,9,6,0.259459459,0.311881188,0.418918918,0.730800106,0.3141993716100309,0.071428571,0.19458128,"16429"
"Ryan O'Hearn","Royals (AAA)","—",2018,100,353,406,82,49,21,1,11,47,52,45,2,97,3,3,2,10,2,0,0.232294617,0.321782178,0.390934844,0.712717022,0.31801350763188074,0.110837438,0.238916256,"16442"
"Ryan McBroom","Yankees (AAA)","—",2018,96,359,393,106,76,18,1,11,49,46,25,1,106,2,6,0,9,1,4,0.295264623,0.339285714,0.442896935,0.782182649,0.3458648834691938,0.063613231,0.269720101,"16524"
"Ryan McBroom","Yankees (AAA)","—",2019,117,413,482,130,75,29,0,26,87,66,58,3,100,6,5,0,9,2,2,0.314769975,0.402489626,0.573849878,0.976339504,0.41068134389988814,0.12033195,0.207468879,"16524"
"Mauricio Dubon","Brewers (AAA)","—",2019,98,404,427,120,81,22,1,16,59,47,18,2,59,4,0,1,6,9,6,0.297029702,0.333333333,0.475247524,0.808580857,0.33990329447782264,0.042154566,0.138173302,"16530"
"Shed Long","Reds (AA)","—",2018,126,452,522,118,79,22,5,12,75,56,57,1,123,8,1,4,8,19,6,0.261061946,0.353281853,0.411504424,0.764786277,0.3503728223031448,0.109195402,0.235632183,"16542"
"Mark Zagunis","Cubs (AAA)","—",2018,115,371,453,101,77,17,0,7,63,40,70,2,101,7,3,2,8,11,1,0.272237196,0.394678492,0.374663072,0.769341564,0.3561380278559729,0.154525386,0.222958057,"16565"
"Connor Joe","Dodgers (AAA)","—",2019,105,360,446,108,66,26,1,15,82,68,72,0,81,10,4,0,10,1,2,0.3,0.426008968,0.502777777,0.928786745,0.40191156661029354,0.161434977,0.181614349,"16572"
"Yandy Diaz","Indians (AAA)","—",2018,98,348,426,102,75,24,0,3,53,40,70,3,75,2,5,1,8,2,3,0.293103448,0.409411764,0.387931034,0.797342798,0.3643627124375077,0.164319248,0.176056338,"16578"
